Year,Un _allocated,Landings_AMS,Landings_BMS,Total,Discards,Catch,Notes
1966,,,,177318,8735,186053,
1967,,,,195446,11733,207179,
1968,,,,216353,9700,226053,
1969,,,,212160,10654,222814,
1970,,,,198451,7625,206076,
1971,,,,164840,5426,170266,
1972,,,,143833,8490,152323,
1973,,,,143164,7491,150655,
1974,,,,147815,7933,155748,
1975,,,,194649,9576,204225,
1976,,,,203303,4341,207644,
1977,,,,164792,2978,167770,
1978,,,,154009,9875,163884,
1979,,,,227699,14576,242275,
1980,,,,347619,8544,356163,
1981,,,,331642,6185,337827,
1982,,,,316052,11548,327600,
1983,,,,332148,10998,343146,
1984,,,,391952,8521,400473,
1985,,,,315083,8199,323282,
1986,,,,252558,3848,256406,
1987,,,,207081,9340,216421,
1988,,,,194787,7253,202040,
1989,,,,179178,3462,182640,
1990,,,,153546,4187,157733,
1991,,,,122517,2741,125258,
1992,,,,54882,1904,56786,
1993,18978,,,50711,1558,52269,
1994,44000,,,100856,1956,102812,
1995,18993,,,107718,1872,109590,
1996,10815,,,124189,1443,125632,
1997,,,,88600,3462,92062,"No landings reported, estimated by ICES"
1998,,,,67428,2299,69727,
1999,,,,72995,1838,74833,
2000,23118,,,89289,6019,95308,
2001,23677,,,91328,2891,94219,
2002,17562,,,67740,1462,69202,
2003,22147,,,69477,2024,71501,
2004,19563,,,68578,1201,69779,
2005,14991,,,55032,1670,56702,
2006,17836,,,65531,4644,70175,
2007,12418,,,50843,4146,54989,
2008,2673,,,42234,3746,45980,
2009,3189,,,48438,3328,51766,
2010,,,,50276,3543,53819,
2011,,,,50368,3850,54218,
2012,,,,51225,6795,58020,
2013,,,,31355,5020,36375,
2014,,,,28909,9627,38536,
2015,,,,38079,5970,44049,
2016,,,,29313,3279,32591,
2017,,25317,179,25496,3238,28734,
2018,,15800,108,15907,3103,19010,
2019,,8326,57,8383,1337,9720,
