Year,SD24_25,SD26,SD28,SD27and29_32,Rec,Catch
1973,5612,,,,,5612
1974,6822,,,,,6822
1975,5825,,,,,5825
1976,4890,,,,,4890
1977,6684,,,,,6684
1978,4330,,,,,4330
1979,4462,,,,,4462
1980,4737,,,1519,,6256
1981,4346,,,1656,,6002
1982,5999,,,1854,,7853
1983,6031,,,1870,,7901
1984,5542,,,1610,,7152
1985,6009,,,1157,,7166
1986,7487,,,952,,8439
1987,5687,,,788,,6475
1988,5762,,,728,,6490
1989,6632,,,566,,7198
1990,4758,,,343,,5101
1991,5374,,,349,,5723
1992,4953,,,245,,5198
1993,5231,,,307,,5538
1994,8493,,,138,,8631
1995,12594,,,258,,12852
1996,10517,3744.391,299,450,,15010.391
1997,8697,3415.88,759,406,,13277.88
1998,8587,3403,537,307,,12834
1999,7165,3133,457,406,,11161
2000,8288,2654.03212,394.648,422,374,12132.68012
2001,10464,3235.1991,705.52,503,0,14907.7191
2002,12982,3284.13024,514.326,523,155,17458.45624
2003,9360,3398.62616,530.808,374,0,13663.43416
2004,11370,4235.516,707.251,373,79,16764.767
2005,12696,4468.4428,1589.627,330,0,19084.0698
2006,10852,3583.3847,941.0503,344,75,15795.435
2007,11891,4917.3965,987.35561,263,0,18058.75211
2008,10410,4215.6442,511.56725,249,40,15426.21145
2009,10227,2964.2555,433.3865,262,0,13886.642
2010,11348,3189.36,387.87143,227,11,15163.23143
2011,10610,3126.996,259.88209,221,0,14217.87809
2012,10430,3620.232,338.65778,190,69.6,14648.48978
2013,14318,4390.73846,698.35864,237,36.5,19680.5971
2014,14610,3280.8689,1332.671,183,42.6,19449.1399
2015,11090,2627.68739,1815.2827,176,54.7,15763.67009
2016,14637,2503.3622,1748.1456,173,46,19107.5078
2017,10855,2452,1455,150,37,14949
2018,12788,2363,1112,127,33.5,16423.5
2019,11815,1963.4773,776.4266,121,29.4,14705.3039
