Treatment,Date,Activity,UpperCI,LowerCI,SE,SD,PooledMean,PooledSD,PooledSE
45,11/12/1990,0.934782609,1.030434783,0.830434783,0.051020408,0.326690012,,,
45,11/28/1990,0.617391304,0.691304348,0.547826087,0.036601597,0.234364574,,,
45,12/9/1990,0.295652174,0.352173913,0.239130435,0.028837622,0.184650876,,,
45,1/3/1991,0.939130435,1.008695652,0.873913043,0.034383319,0.22016066,,,
45,1/13/1991,0.913043478,1.02173913,0.808695652,0.054347826,0.347995882,0.74,0.270303871,0.094394206
56,11/7/1990,1.369565217,1.426086957,1.3,0.03216504,0.205956747,,,
56,11/23/1990,1.560869565,1.634782609,1.47826087,0.039929015,0.255670444,,,
56,12/5/1990,1.495652174,1.57826087,1.408695652,0.043256433,0.276976315,,,
56,12/19/1990,1.508695652,1.582608696,1.417391304,0.042147294,0.269874358,1.483695652,0.253640299,0.079223919
65,11/11/1990,1.265217391,1.365217391,1.165217391,0.051020408,0.326690012,,,
65,11/25/1990,1.365217391,1.456521739,1.273913043,0.046583851,0.298282185,,,
65,12/7/1990,0.969565217,1.069565217,0.869565217,0.051020408,0.326690012,,,
65,12/21/1990,1.043478261,1.12173913,0.952173913,0.043256433,0.276976315,1.160869565,0.307872079,0.096163082
75,11/16/1990,1.334782609,1.417391304,1.247826087,0.043256433,0.276976315,,,
75,11/21/1990,1.434782609,1.517391304,1.334782609,0.046583851,0.298282185,,,
75,12/14/1990,1.586956522,1.67826087,1.486956522,0.04880213,0.312486099,,,
75,1/9/1991,1.243478261,1.313043478,1.160869565,0.038819876,0.248568487,1.4,0.28509735,0.089049451
84,11/18/1990,1.782608696,1.882608696,1.67826087,0.052129547,0.333791969,,,
84,12/2/1990,1.513043478,1.573913043,1.447826087,0.03216504,0.205956747,,,
84,12/16/1990,1.747826087,1.847826087,1.647826087,0.051020408,0.326690012,,,
84,1/11/1991,1.213043478,1.295652174,1.126086957,0.043256433,0.276976315,1.564130435,0.290377988,0.090698845
93,11/14/1990,2.708695652,2.77826087,2.634782609,0.036601597,0.234364574,,,
93,11/30/1990,2.052173913,2.117391304,1.97826087,0.035492458,0.227262617,,,
93,12/12/1990,1.591304348,1.686956522,1.486956522,0.051020408,0.326690012,,,
93,1/5/1991,1.139130435,1.22173913,1.060869565,0.041038154,0.262772401,1.872826087,0.265683434,0.082985563
