Treatment,Speed_fbc,Mean_Sfbc,SD_Sfbc,SE_Sfbc,Ucrit,Mean_ucrit,SD_ucrit,SE_ucrit
35,30.26737968,,,,51.12299465,,,
35,36.68449198,33.47593583,4.537583623,3.20855615,56.20320856,53.6631016,3.592253701,2.540106952
45,43.23529412,,,,53.93048128,,,
45,54.06417112,48.64973262,7.657172363,5.414438503,62.48663102,58.20855615,6.050111497,4.278074866
55,27.86096257,,,,54.3315508,,,
55,41.22994652,34.54545455,9.453299214,6.684491979,60.21390374,57.27272727,4.159451654,2.941176471
65,50.32085561,,,,54.46524064,,,
65,55.93582888,53.12834225,3.97038567,2.807486631,63.28877005,58.87700535,6.239177481,4.411764706
75,48.5828877,,,,63.55614973,,,
75,56.20320856,52.39304813,5.388380552,3.810160428,67.96791444,65.76203209,3.119588741,2.205882353
85,50.45454545,,,,65.02673797,,,
85,57.00534759,53.72994652,4.632116615,3.27540107,74.9197861,69.97326203,6.995441418,4.946524064
100,57.13903743,,,,76.39037433,,,
100,58.74331551,57.94117647,1.134395906,0.802139037,80.80213904,78.59625668,3.119588741,2.205882353
