Treatment,Temperature_C,HypoxicHabitat_PercentTime,SE_hhpt,Oxygen_Low,Oxygen_High,Oxygen_Exposure
100/100,5,44.69387755,4.164931279,100,100,100
20/20,5,41.83673469,4.685547688,20,20,20
20/30,5,16.53061224,2.13452728,20,30,28.34693878
20/40,5,28.57142857,2.759266972,20,40,34.28571429
20/50,5,30.40816327,3.123698459,20,50,40.87755102
20/60,5,33.06122449,2.915451895,20,60,46.7755102
20/80,5,32.24489796,2.811328613,20,80,60.65306122
20/100,5,37.75510204,2.498958767,20,100,69.79591837
100/100,15,53.06122449,3.1757601,100,100,100
20/20,15,48.97959184,3.800499792,20,20,20
20/30,15,4.693877551,0.832986256,20,30,29.53061224
20/40,15,13.87755102,1.509787589,20,40,37.2244898
20/50,15,28.57142857,1.978342357,20,50,41.42857143
20/60,15,32.44897959,1.770095793,20,60,47.02040816
20/80,15,39.18367347,2.290712203,20,80,56.48979592
20/100,15,37.55102041,3.331945023,20,100,69.95918367
